Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Rsem_mqc-generalstats-rsem-alignable_percent	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9	6.0	18.0	3.1358885017421603						
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1				1.6666666666666714	52.0	138.60333333333332	36.36363636363637	300.0	
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw				1.6666666666666714	51.0	151.0	36.36363636363637	300.0	8.253863134657836
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2				1.6666666666666714	52.0	136.27333333333334	36.36363636363637	300.0	
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw				1.6666666666666714	51.0	151.0	36.36363636363637	300.0	9.79028697571744
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10	3.33	10.0	1.718213058419244						
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1				3.3333333333333286	52.0	137.54666666666665	27.27272727272727	300.0	
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw				3.3333333333333286	52.0	151.0	36.36363636363637	300.0	8.503311258278146
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2				3.666666666666657	53.0	137.04	36.36363636363637	300.0	
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw				3.666666666666657	52.0	151.0	36.36363636363637	300.0	8.918322295805739
Mmus_BAL-TAL_LRTN_GC_Rep1_G6	4.67	14.0	2.7491408934707904						
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1				3.3333333333333286	53.0	137.61666666666667	18.181818181818183	300.0	
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw				3.3333333333333286	53.0	151.0	27.27272727272727	300.0	8.885209713024283
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2				0.6666666666666714	53.0	137.00333333333333	27.27272727272727	300.0	
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw				1.0	52.0	151.0	36.36363636363637	300.0	9.282560706401766
Mmus_BAL-TAL_LRTN_GC_Rep2_G8	7.0	21.0	3.125						
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1				3.0	54.0	138.89333333333335	9.090909090909092	300.0	
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw				3.3333333333333286	53.0	151.0	18.181818181818183	300.0	8.059602649006623
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2				2.3333333333333286	54.0	136.45666666666668	27.27272727272727	300.0	
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw				2.3333333333333286	54.0	151.0	36.36363636363637	300.0	9.679911699779248
Mmus_BAL-TAL_LRTN_GC_Rep3_G9	6.0	18.0	2.0905923344947737						
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1				2.0	52.0	139.68	18.181818181818183	300.0	
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw				2.0	52.0	151.0	27.27272727272727	300.0	7.066225165562915
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2				1.6666666666666714	52.0	138.71333333333334	36.36363636363637	300.0	
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw				1.6666666666666714	52.0	151.0	36.36363636363637	300.0	7.746136865342164
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8	5.69	17.0	4.421768707482993						
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1				2.0066889632107063	52.0	139.82608695652175	18.181818181818183	299.0	
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw				2.0	52.0	151.0	27.27272727272727	300.0	7.584988962472407
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2				1.6722408026755886	53.0	138.67558528428094	45.45454545454545	299.0	
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw				1.6666666666666714	52.0	151.0	45.45454545454545	300.0	8.551876379690949
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9	6.38	19.0	1.4234875444839856						
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1				2.6845637583892596	52.0	138.10738255033556	9.090909090909092	298.0	
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw				2.666666666666657	51.0	151.0	18.181818181818183	300.0	8.097130242825607
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2				2.0134228187919376	52.0	136.74161073825502	27.27272727272727	298.0	
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw				2.0	52.0	151.0	36.36363636363637	300.0	10.094922737306842
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10	6.35	19.0	3.125						
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1				3.0100334448160453	49.0	140.23411371237458	18.181818181818183	299.0	
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw				3.0	49.0	151.0	27.27272727272727	300.0	6.894039735099337
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2				1.337792642140471	49.0	139.61204013377926	27.27272727272727	299.0	
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw				1.3333333333333286	49.0	151.0	36.36363636363637	300.0	7.459161147902869
Mmus_BAL-TAL_RRTN_GC_Rep4_G10	5.67	17.0	2.768166089965398						
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1				3.3333333333333286	52.0	139.61333333333334	0.0	300.0	
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw				3.3333333333333286	52.0	151.0	9.090909090909092	300.0	7.1280353200882995
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2				2.666666666666657	52.0	138.92666666666668	27.27272727272727	300.0	
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw				2.666666666666657	52.0	151.0	36.36363636363637	300.0	7.980132450331126
