"","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10"
"ENSMUSG00000024725",509,4736,260,3211,2851,3167,4290,1674,4470,1099,3018,2627,1895
"ENSMUSG00000024726",3455,2376,3803,3464,2230,2617,3319,4753,1603,4084,3538,264,4618
"ENSMUSG00000024727",1458,4935,3050,3910,3823,2897,2849,1971,1134,4000,2385,4277,4733
"ENSMUSG00000024728",3497,329,4719,1745,2101,3385,888,866,4859,3680,3646,3932,4895
"ENSMUSG00000024729",2833,3911,3176,4698,2067,3146,4981,4283,3974,4292,2281,1955,2354
"ENSMUSG00000024730",1565,4328,1257,3189,1783,1739,4821,3598,4518,3409,272,1663,3776
"ENSMUSG00000024731",2645,2148,389,1345,4841,1058,3297,4297,637,3609,166,2075,234
"ENSMUSG00000024732",3621,602,2735,3586,4255,874,32,51,4487,1967,2355,4022,2013
"ENSMUSG00000024734",4862,1403,4379,597,3161,1812,2932,2711,4201,4711,868,641,499
"ENSMUSG00000024735",1596,875,4174,4008,2858,1434,2238,2394,2921,1140,3564,2299,3585
"ENSMUSG00000024736",990,2461,4239,1439,4728,202,3978,2255,491,4455,636,2932,3812
"ENSMUSG00000024737",4728,3141,4973,3333,3920,517,4974,2839,1594,2840,4278,3719,2768
"ENSMUSG00000024738",4567,3861,3840,2833,2763,4620,3485,838,132,284,1653,4365,3281
"ENSMUSG00000024740",435,2512,4529,104,4591,43,3313,116,535,4753,4694,807,2272
"ENSMUSG00000024742",4561,3833,3640,1253,2708,4868,3517,2630,4177,1221,4818,3362,1828
"ENSMUSG00000024743",2060,1273,303,57,1244,915,791,64,4797,3750,1309,4036,3713
"ENSMUSG00000024747",1804,4711,2860,1699,981,3235,4220,1473,3601,4922,4885,4937,4728
"ENSMUSG00000024749",1893,3875,607,4801,4714,3600,533,3378,277,2875,906,2197,1859
"ENSMUSG00000024750",4443,2478,1491,2013,2320,2370,1398,3553,3452,2003,3780,2715,115
"ENSMUSG00000024754",2914,4935,1353,2172,4528,1486,3541,3520,2847,4846,3325,4007,604
"ENSMUSG00000024757",4770,4984,862,4136,2041,1208,429,3171,4354,1722,4342,1530,3546
"ENSMUSG00000024758",1165,1257,2650,619,2978,2524,3641,464,1764,251,1095,2414,3168
"ENSMUSG00000024759",829,4146,4935,218,1202,46,416,3698,4144,4761,4195,2198,3568
"ENSMUSG00000024761",1027,2624,1854,3915,454,3689,591,1118,4571,1267,308,3860,2996
"ENSMUSG00000024764",3586,34,2821,2599,1628,4924,780,2638,1699,3332,805,739,2546
"ENSMUSG00000024766",944,238,3944,2158,1777,2456,747,1207,2739,2476,380,2229,1994
"ENSMUSG00000024767",4169,4226,735,824,1966,2470,1849,571,3131,1288,1951,3480,1608
"ENSMUSG00000024768",926,1282,368,3656,4140,4709,523,717,1963,228,2490,1081,2144
"ENSMUSG00000024769",970,1104,2684,1312,1951,3852,302,4440,502,4123,1702,3423,3027
"ENSMUSG00000024770",4917,2616,4396,4737,2723,3065,447,2456,3020,1048,1099,41,674
"ENSMUSG00000024771",3133,3120,1696,352,1160,2914,2286,4508,1330,3922,1456,4705,1222
"ENSMUSG00000024772",3846,4311,4116,938,2561,4936,3715,2217,1154,3684,2216,4378,1277
"ENSMUSG00000024773",528,605,104,3296,2460,1045,1464,2174,2614,3878,3490,148,2944
"ENSMUSG00000024774",3630,3955,872,1957,1050,4205,2009,2964,2801,1223,3383,509,3425
"ENSMUSG00000024776",2008,1093,1579,4299,4309,2536,2122,171,4412,1414,3733,3610,3034
"ENSMUSG00000024777",4915,1901,2721,1891,3216,4035,4215,1403,278,1462,4509,979,615
"ENSMUSG00000024778",4494,1899,2113,3786,2843,1466,1198,4751,4230,990,3979,310,3797
"ENSMUSG00000024780",4388,4809,4221,1768,2824,2913,757,541,481,3153,4325,527,4874
"ENSMUSG00000024781",2204,2299,4937,4594,647,2366,1654,3007,4588,4578,2704,3123,1096
"ENSMUSG00000024782",4013,976,2088,247,3782,377,970,3725,1586,2208,2713,950,3423
"ENSMUSG00000024784",4486,1704,1781,378,1,22,3488,2863,2166,4658,1371,2884,1150
"ENSMUSG00000024785",968,2758,467,2983,4604,61,1129,4946,319,2670,4435,4062,4558
"ENSMUSG00000024786",3726,4834,3891,2025,1369,2849,364,1412,697,1734,4241,4964,3457
"ENSMUSG00000024787",4267,4450,4962,4070,821,1229,1098,4796,676,65,1158,1664,1501
"ENSMUSG00000024789",1565,3343,4015,3212,511,121,1706,2337,126,4973,1127,1244,826
"ENSMUSG00000024790",4958,3455,1858,411,383,3889,1775,4350,1445,2469,1182,4105,4130
"ENSMUSG00000024791",1709,2413,2909,683,2185,4224,2434,1147,3277,4409,309,2621,945
"ENSMUSG00000024792",4548,2323,3387,664,2190,3671,1006,4236,4578,1139,2912,2772,1930
"ENSMUSG00000024795",1383,4830,3637,4879,689,1095,4132,3262,4624,2028,3453,3653,1214
"ENSMUSG00000024797",1464,4306,1937,4900,1939,2681,3550,2137,1762,3115,1484,2213,3475
"ENSMUSG00000024798",4228,2433,2103,2468,1843,1050,1289,2047,3167,4414,1207,2185,1947
"ENSMUSG00000024799",2531,903,1722,1321,557,1875,1697,996,2489,4819,3779,390,138
"ENSMUSG00000024800",945,611,305,2099,1695,477,4480,2915,2946,3498,1058,1412,3751
"ENSMUSG00000024803",2271,4626,1624,412,3730,2140,1859,1615,4105,4089,3277,30,3462
"ENSMUSG00000024805",1874,3918,1052,2623,3117,1561,174,3201,2849,611,4228,1282,3028
"ENSMUSG00000024806",4662,1564,2245,4724,4974,2474,4081,1429,2322,1681,520,3787,1119
"ENSMUSG00000024807",2958,1189,2577,4482,2181,2742,2167,2567,423,4698,3032,979,2255
"ENSMUSG00000024810",2003,3011,4339,1127,3047,1934,445,1253,2499,4802,2391,4655,1042
"ENSMUSG00000024811",672,675,3056,2452,4326,612,829,3549,2190,3404,754,3006,2314
"ENSMUSG00000024812",3899,2021,1901,1434,3165,4591,4778,4398,3163,3228,944,1197,1311
"ENSMUSG00000024815",4202,2596,190,3550,467,1600,3151,932,824,133,443,4916,2737
"ENSMUSG00000024816",2774,4113,1699,2258,2680,3951,811,584,4360,1014,4241,1376,2033
"ENSMUSG00000024817",4162,579,4034,2057,4293,4715,684,4558,1035,1546,1911,1908,600
"ENSMUSG00000024818",4470,3376,1113,1957,1495,566,412,4304,3890,3297,3689,764,1153
"ENSMUSG00000024824",3001,1410,486,3556,3325,2194,2182,1510,2505,3458,400,3019,1147
"ENSMUSG00000024826",4640,3273,4941,3640,2361,4746,3474,4463,4695,121,1200,3217,3256
"ENSMUSG00000024827",4580,4023,4729,1133,1346,3306,3009,1331,4923,2911,4499,3371,1153
"ENSMUSG00000024829",441,832,2208,554,1032,4800,1780,356,3040,4438,3516,4674,3943
"ENSMUSG00000024830",2289,301,1478,4783,1187,4021,2296,2717,170,4495,210,4672,3334
"ENSMUSG00000024831",535,683,4892,3050,3844,745,4574,2746,4638,613,4257,97,1749
"ENSMUSG00000024833",914,4129,939,3364,1343,64,3968,274,1817,1083,2346,1225,1363
"ENSMUSG00000024835",4548,1717,1169,4103,2399,1613,4237,1697,3774,1150,1337,1233,1997
"ENSMUSG00000024837",788,4516,4792,2449,765,1199,4152,2777,1933,2612,3718,624,1575
"ENSMUSG00000024841",853,1355,3485,4430,704,1535,869,3561,1319,2919,3939,3815,4665
"ENSMUSG00000024842",4831,3413,3565,1192,4800,336,457,2975,3640,611,1568,4991,1208
"ENSMUSG00000024843",550,2722,3340,754,2929,2058,2706,830,2178,330,834,603,2589
"ENSMUSG00000024844",67,4699,4798,2051,4701,1516,2704,4815,597,3799,3927,4522,3414
"ENSMUSG00000024845",2444,3597,1907,3431,4739,3039,2806,937,184,2600,567,4139,2762
"ENSMUSG00000024846",4728,463,2198,2585,4828,1721,3055,4564,3499,421,1813,4765,3445
"ENSMUSG00000024847",3963,4509,463,1982,4798,2048,2836,3619,1256,4774,2145,2155,1835
"ENSMUSG00000024851",3262,2032,378,3737,26,2296,4727,2596,1448,4415,2170,3696,403
"ENSMUSG00000024853",4865,651,2522,1808,3920,4537,1025,3365,922,4744,1186,4906,2650
"ENSMUSG00000024854",3720,4236,2395,3274,405,1263,2694,3077,1142,1146,1909,962,557
"ENSMUSG00000024855",1167,4254,462,2639,3502,4118,4373,87,638,4267,3755,4568,1818
"ENSMUSG00000024856",2070,3088,2139,1828,3082,4843,4721,3046,2809,294,2612,3120,4614
"ENSMUSG00000024857",1290,1259,3131,2375,1272,2188,829,1773,2072,4403,1346,4190,2315
"ENSMUSG00000024858",3610,326,3012,4096,1001,4411,3274,1301,1086,1179,4631,558,3759
"ENSMUSG00000024862",2086,4688,4741,631,632,4255,81,2752,220,2036,2969,3853,3706
"ENSMUSG00000024863",1702,1678,2677,3515,240,112,1553,647,1935,3377,191,1246,2750
"ENSMUSG00000024866",3081,3564,4498,3637,485,3161,3216,3989,4364,2601,3317,51,1797
"ENSMUSG00000024867",4945,58,3821,1821,1035,2036,1215,563,1943,551,3772,3075,804
"ENSMUSG00000024868",495,2640,1813,2397,4296,3467,1650,3266,307,3642,660,41,2095
"ENSMUSG00000024869",3973,881,1335,2522,4184,3245,1306,1198,2063,3269,2045,2736,2872
"ENSMUSG00000024870",2296,2063,3094,3185,1806,3534,195,2854,2811,857,4951,296,2471
"ENSMUSG00000024871",846,3924,4531,85,566,3790,622,430,2378,1537,4,1931,1697
"ENSMUSG00000024873",466,1900,3046,3059,3165,1839,2441,3563,1598,1266,4205,1505,296
"ENSMUSG00000024875",4246,2162,3567,3688,4053,607,807,1308,3958,951,2982,3395,2188
"ENSMUSG00000024878",1136,1849,3685,4119,4740,3097,3020,632,4576,883,2720,1878,4900
"ENSMUSG00000024883",12,2648,2984,162,3173,3131,3388,1369,2052,2260,2979,1126,3772
"ENSMUSG00000024885",443,4344,1937,2550,657,2099,1663,1959,546,3917,1816,1969,4223
"ENSMUSG00000024887",3495,4379,3533,1565,43,2737,3655,351,651,364,2244,1301,972
"ENSMUSG00000024889",1129,4257,3705,1852,2281,4995,4903,822,375,1970,863,3800,4060
"ENSMUSG00000024891",722,3258,423,238,3719,4623,4024,2309,3865,3866,4014,3456,4004
"ENSMUSG00000024892",3322,3765,2364,2019,1343,1794,1911,3589,3136,3138,4682,588,3940
"ENSMUSG00000024896",1345,228,67,2088,612,3978,3656,914,1856,4076,2021,4185,1788
"ENSMUSG00000024897",395,104,1748,1505,3140,2296,2174,3678,1193,1938,4950,3897,2382
"ENSMUSG00000024899",1815,1454,2051,3283,121,1253,1458,4509,2040,4115,4880,3399,1061
"ENSMUSG00000024900",2669,1249,3277,3377,1846,3113,1324,4689,254,779,4193,357,775
"ENSMUSG00000024901",2592,3347,4542,811,3186,2561,2002,3724,458,1079,1594,26,3020
"ENSMUSG00000024902",4848,91,4644,1735,1053,902,4504,1382,2410,3442,4397,3994,1016
"ENSMUSG00000024905",989,796,3884,1575,1254,518,4234,2282,1632,4818,3207,2052,2187
"ENSMUSG00000024906",1127,3414,2112,3764,1442,4886,2749,2146,741,127,1684,2415,3700
"ENSMUSG00000024907",3542,1287,1326,2045,1284,3669,810,3805,4182,1315,4786,3320,2599
"ENSMUSG00000024908",2928,1631,4123,3841,1395,801,913,187,4177,2122,1207,121,3814
"ENSMUSG00000024909",1967,3580,2235,3294,4525,2698,902,1854,1159,843,3518,4233,2067
"ENSMUSG00000024910",1535,2739,989,2947,4356,4613,4978,4063,2928,2182,1374,431,87
"ENSMUSG00000024911",3221,748,4093,4887,3825,2560,74,3384,4245,3157,589,4034,4485
"ENSMUSG00000024912",2872,2461,4967,151,4823,97,1230,4642,3085,1792,2575,1958,660
"ENSMUSG00000024913",1652,3456,4141,2059,700,3888,3322,971,2954,222,479,4246,754
"ENSMUSG00000024914",592,3254,2890,2973,3853,4251,2836,4829,3682,1489,439,4931,1561
"ENSMUSG00000024921",2929,829,1326,2350,3505,2053,439,2280,2688,2219,2147,4090,1117
"ENSMUSG00000024922",2396,2438,380,2997,3477,44,1900,2878,3263,525,2474,1404,332
"ENSMUSG00000024924",4997,1137,4437,1829,4949,3217,3143,4478,716,3320,1877,45,4705
"ENSMUSG00000024925",362,142,3707,1246,4547,2808,2787,1752,253,2983,3844,2505,4140
"ENSMUSG00000024926",1509,2919,3411,3742,1116,2628,741,1932,121,3214,842,4860,4001
"ENSMUSG00000024927",211,4202,3769,1235,272,1957,3915,245,348,91,1554,4293,3449
"ENSMUSG00000024935",1167,4929,3885,2758,1501,4709,2934,3576,392,1702,2949,3580,518
"ENSMUSG00000024936",2455,3187,1567,927,1088,2585,1167,4257,4862,1467,4391,1037,831
"ENSMUSG00000024937",4601,4910,1262,3553,4987,2690,1815,3699,4686,4464,3050,3501,2530
"ENSMUSG00000024939",2213,1331,971,828,3318,1838,3423,3766,3349,4613,3802,806,2302
"ENSMUSG00000024940",2891,1552,4421,2464,3179,3514,683,2212,2224,3917,2339,729,2862
"ENSMUSG00000024941",4681,1506,449,1075,3082,3401,383,3703,4758,3521,4665,3169,473
"ENSMUSG00000024942",1725,3991,1355,3203,1072,4651,2531,1607,261,1607,1744,2205,851
"ENSMUSG00000024943",2246,1327,4849,1715,1788,4549,2063,3294,100,1284,2582,3656,4416
"ENSMUSG00000024944",1450,4839,1182,3810,1866,2023,1376,4056,1186,4986,2333,3274,2582
"ENSMUSG00000024947",3436,3698,2013,2840,336,531,78,2568,1142,1268,4554,761,125
"ENSMUSG00000024948",63,333,4697,4249,4682,2881,1395,3500,1482,241,4088,1922,2326
"ENSMUSG00000024949",1845,2413,228,2892,193,2201,2163,170,4531,593,661,2308,3438
"ENSMUSG00000024953",3300,2518,2081,3224,4754,2979,3642,3239,235,1976,4690,2482,3657
"ENSMUSG00000024955",4327,3074,4507,357,1297,4079,4236,4166,3406,4653,4013,350,2426
"ENSMUSG00000024957",1228,3781,1330,3029,2809,2513,29,4671,986,4470,3912,3236,2783
"ENSMUSG00000024958",399,1990,239,4723,3560,630,2407,3101,1703,771,2444,3446,3335
"ENSMUSG00000024959",4488,1403,48,1367,3015,3406,1621,3218,3983,4669,3531,2033,2361
"ENSMUSG00000024960",4812,2522,3925,2793,3036,1586,2712,4299,3490,1576,4172,2463,486
"ENSMUSG00000024962",2584,3194,2017,1055,2541,2592,3292,112,3166,3454,2351,2620,4575
"ENSMUSG00000024963",4605,3403,1442,3071,2255,4067,4052,1038,975,3843,4383,2404,4920
"ENSMUSG00000024965",2635,4076,2422,2844,4859,2572,517,4076,517,1690,3181,3011,3948
"ENSMUSG00000024966",4612,3720,2711,3785,1880,3776,3169,2458,2509,1177,4721,3064,3830
"ENSMUSG00000024968",4730,562,4945,336,2798,4274,356,1259,3074,3813,865,3884,2762
"ENSMUSG00000024969",4090,179,805,4093,4568,4395,3424,1016,3269,1268,3005,3718,3998
"ENSMUSG00000024970",1852,4860,3618,3559,2280,1308,266,4010,4187,1156,3401,1136,926
"ENSMUSG00000024972",3206,1894,1868,4384,4446,3133,4772,3811,1996,1498,2161,358,1925
"ENSMUSG00000024973",2738,2881,1933,1508,75,1627,433,7,3873,994,471,3320,239
"ENSMUSG00000024974",2304,3639,149,4393,2225,514,721,1163,4817,743,4531,4274,4219
"ENSMUSG00000024975",4047,4116,3703,2862,2366,4609,2205,1347,656,513,1022,706,3751
"ENSMUSG00000024976",2511,4577,3501,2624,4311,3037,4534,951,1018,1914,2191,1021,545
"ENSMUSG00000024978",4103,1914,3657,3528,549,2439,1204,929,4847,4700,404,3180,1577
"ENSMUSG00000024979",4367,4991,641,2259,849,308,158,2091,1082,340,4031,4545,908
"ENSMUSG00000024981",3977,588,1177,2360,3213,1494,406,866,2484,319,2036,4137,1848
"ENSMUSG00000024982",4975,58,2683,265,3656,670,4253,69,3934,1845,652,299,4531
"ENSMUSG00000024983",1184,2355,4655,3038,116,164,1672,1138,1782,1772,1596,4716,4299
"ENSMUSG00000024985",1234,3759,1820,3094,1658,283,3493,2855,2930,2831,354,669,776
"ENSMUSG00000024986",2092,4074,3309,2666,3193,3158,4857,2776,2754,2871,1146,219,1597
"ENSMUSG00000024987",3482,1428,4797,4092,701,1141,2219,367,4953,144,3188,245,3874
"ENSMUSG00000024989",1881,655,454,2895,351,4878,3934,1333,3228,4549,3385,2114,3629
"ENSMUSG00000024990",4850,1747,835,3607,2802,1438,2617,4443,4177,4220,886,3176,2904
"ENSMUSG00000024991",4665,2686,356,2135,2907,4423,2175,2940,412,4137,1047,448,1041
"ENSMUSG00000024992",2170,538,2695,173,1110,2036,3150,3455,4074,4737,673,4477,1826
"ENSMUSG00000024993",3937,697,1426,2026,4745,2075,4209,481,1451,3025,2151,480,4817
"ENSMUSG00000024997",652,3599,3972,3924,1370,225,757,550,4772,1965,3411,4317,4210
"ENSMUSG00000024998",3080,45,996,2885,3647,2524,4028,1258,4857,2497,1648,1688,3612
"ENSMUSG00000024999",4380,2477,1351,3668,1338,2096,1192,2363,4446,3936,2042,1592,3462
"ENSMUSG00000025001",968,1421,704,40,3387,1814,3799,1082,3950,784,4942,3249,2874
"ENSMUSG00000025002",4289,1679,2446,3929,3645,2174,528,998,928,1068,3473,1787,1837
"ENSMUSG00000025003",1286,3414,3650,3032,687,1839,2305,2798,2486,1156,3102,472,482
"ENSMUSG00000025004",3594,1738,4994,479,3720,20,2484,3423,3866,2261,567,3023,4602
"ENSMUSG00000025006",4115,1476,495,4891,1313,1468,4347,1051,4672,4749,2599,2857,201
"ENSMUSG00000025007",90,3647,1442,1314,3092,3786,194,1257,1023,4254,1407,4987,4005
"ENSMUSG00000025008",2719,2291,4860,1256,4179,3658,3509,257,4594,922,549,4160,2006
"ENSMUSG00000025010",3498,1937,1469,1127,2770,1424,4182,4291,1306,4617,754,992,2316
"ENSMUSG00000025013",2517,2871,598,196,2999,1027,1682,930,2063,210,4908,1118,4626
"ENSMUSG00000025014",3761,2053,3436,2236,3213,1214,1655,770,420,4378,337,2709,154
"ENSMUSG00000025016",2066,1373,2983,4565,3658,2415,4231,2125,1654,2372,2574,2679,2508
"ENSMUSG00000025017",861,3717,1523,3239,40,485,466,218,4465,2746,4923,3398,690
"ENSMUSG00000025019",1053,4272,3484,2256,1199,1925,1183,843,4963,4929,810,3243,1032
"ENSMUSG00000025020",50,398,3208,4504,290,3475,3853,2200,1092,1276,4174,1221,2546
"ENSMUSG00000025024",1318,4143,4999,1444,2750,3887,1971,1078,963,4019,1285,1013,4837
"ENSMUSG00000025025",128,1988,4623,1819,359,958,883,1377,3127,3420,1540,2604,4116
"ENSMUSG00000025026",1503,1010,1561,4784,4564,4918,2536,99,1929,1264,3081,3876,4288
"ENSMUSG00000025027",102,3756,75,1450,791,789,3153,759,351,1063,1956,3502,4182
"ENSMUSG00000025034",1479,365,2843,1316,4504,4239,752,3345,3810,94,1132,2359,1961
"ENSMUSG00000025035",1258,259,359,230,4065,3802,3790,2486,3684,3190,545,2008,2714
"ENSMUSG00000025036",701,2113,2260,3441,2144,2564,626,1339,2135,3962,312,1780,3363
"ENSMUSG00000025041",2169,1821,170,3694,207,806,1811,3635,1518,4885,1590,1194,4666
"ENSMUSG00000025047",656,266,1219,3337,3398,852,3171,1499,2306,1086,18,3927,1873
"ENSMUSG00000025049",327,3478,2223,2211,3198,2489,2453,2161,4920,1466,3150,4037,4523
"ENSMUSG00000025050",1674,911,368,4049,4709,3332,1457,4144,1466,4428,4156,4501,560
"ENSMUSG00000025060",4534,4185,2749,4843,2149,2480,2670,4659,1242,3562,2686,3424,3972
