"","Atha_Ler-0_sl_FLT_uG_Rep1","Atha_Ler-0_sl_FLT_uG_Rep2","Atha_Ler-0_sl_FLT_uG_Rep3","Atha_Ler-0_sl_FLT_uG_Rep4","Atha_Ler-0_sl_FLT_0.09G_Rep1","Atha_Ler-0_sl_FLT_0.09G_Rep2","Atha_Ler-0_sl_FLT_0.09G_Rep3","Atha_Ler-0_sl_FLT_0.18G_Rep1","Atha_Ler-0_sl_FLT_0.18G_Rep2","Atha_Ler-0_sl_FLT_0.18G_Rep3","Atha_Ler-0_sl_FLT_0.36G_Rep1","Atha_Ler-0_sl_FLT_0.36G_Rep2","Atha_Ler-0_sl_FLT_0.36G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep1","Atha_Ler-0_sl_FLT_0.57G_Rep2","Atha_Ler-0_sl_FLT_0.57G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep4","Atha_Ler-0_sl_FLT_1G_Rep1","Atha_Ler-0_sl_FLT_1G_Rep2","Atha_Ler-0_sl_FLT_1G_Rep3"
"AT5G00850",4129,4357,3223,164,4442,4852,4155,3757,2793,309,4108,1410,1629,3266,1802,1639,3091,841,1344,729
"AT5G00855",4213,401,1450,3976,2504,3234,2482,2975,4677,4210,286,2661,4136,2502,3586,1803,682,809,544,4531
"AT5G00860",3116,33,3301,3015,3845,3331,3156,466,4826,4790,1999,2296,2578,3173,4821,2916,2810,186,1362,4584
"AT5G00865",1962,675,1987,2090,1524,3531,1634,825,1134,3960,4138,2971,3848,4497,123,3793,961,3769,748,1984
"AT5G00870",3243,4206,1718,900,1114,2039,1583,146,4182,3635,3219,718,1200,1855,1385,2991,2866,4082,1240,2413
"AT5G00875",1588,3008,711,513,4684,4715,3958,4506,3727,4917,443,3620,47,4674,1060,4522,862,682,3405,3652
"AT5G00880",2079,4944,2359,948,794,942,2758,3941,3557,2493,834,1337,2636,1776,428,1592,2268,720,4392,4525
"AT5G00885",265,2103,3314,802,2376,2987,3950,4674,826,2142,3255,1493,3674,499,4628,247,1677,4712,2623,2776
"AT5G00895",3741,3067,1312,2777,4663,1903,2622,460,2791,1856,3748,2762,1876,3638,533,4848,4160,1128,52,73
"AT5G00900",3619,4686,876,4575,5,844,451,2705,603,4044,3375,462,1019,1189,4539,4221,1841,3707,2086,1261
"AT5G00905",4377,1395,4215,2763,857,4340,2539,3336,1041,2082,3353,356,482,926,1341,1130,1716,2264,1083,3417
"AT5G00910",2631,3927,1831,3104,571,243,87,1762,1757,847,3262,116,3040,2272,3673,1899,3522,54,4986,3731
"AT5G00920",1337,2544,3112,2503,14,3682,4063,767,3184,2202,278,170,1063,1506,3776,4680,2255,4642,1780,4720
"AT5G00925",4120,1259,4909,3306,1099,3413,1116,3966,1490,764,2972,1608,4870,1431,3555,2787,2288,193,4712,4683
"AT5G00930",954,2557,3545,3429,141,4475,779,679,1519,3003,2550,329,2136,1173,4960,1044,209,3844,428,4287
"AT5G00935",1694,1885,1449,640,146,2851,2274,1099,482,696,4439,4276,2862,4302,3877,4835,1363,1856,4528,3929
"AT5G00940",760,685,3810,1019,2689,2433,658,2771,2180,52,722,3667,4472,3563,593,2751,1158,4335,129,4655
"AT5G00950",4541,3681,479,4713,3810,4502,717,873,1935,2193,4123,3390,58,3320,1916,4721,694,348,2767,4918
"AT5G00955",171,1440,3206,3998,2227,1374,4251,4621,1971,4640,4638,1397,1114,4480,2128,503,3107,4526,1696,4361
"AT5G00960",187,337,2317,331,4530,4039,462,4881,4521,1404,601,4695,1495,2540,1620,4205,2282,1747,838,2148
"AT5G00965",3844,1838,856,2361,426,3164,2206,1541,4700,1281,2899,2537,4622,4829,3423,1551,3019,1435,1581,815
"AT5G00970",3950,2159,673,107,428,1612,2495,205,2084,756,4724,808,1095,35,2684,1228,3116,2180,3223,3794
"AT5G00975",1437,2080,1303,3035,649,1724,1081,1684,44,2121,2635,398,1829,3293,4330,2068,1942,4538,1365,4262
"AT5G00980",1335,2044,555,437,1035,1460,3145,4445,1596,3087,2105,879,4557,1287,4448,2947,1838,2672,3085,463
"AT5G00985",2335,170,2970,2056,1921,1024,1574,1712,1975,3855,2058,4166,4416,2357,2532,1067,3348,4891,2646,81
"AT5G00990",828,1838,1065,2791,3981,3911,2354,2542,4702,3682,3173,2800,1398,2214,2965,2629,502,3508,4190,277
"AT5G00995",4599,1697,1402,3069,4235,3739,4848,2826,3221,2412,2021,2808,3249,4296,883,2276,351,4037,150,4470
"AT5G01005",2632,1971,1020,3062,202,1471,3861,2320,476,4110,1484,4687,4536,3256,10,1232,307,3927,4240,2783
"AT5G01010",3139,4233,2995,339,241,4801,3559,2398,2270,2928,1079,1066,4082,3977,71,3618,2379,3070,1372,236
"AT5G01015",2723,2955,2247,2649,4743,3548,4121,1114,3298,1504,4804,4110,1363,4938,1286,2671,4761,4167,917,4405
"AT5G01017",2328,4374,1262,963,1910,1498,3046,2401,1491,492,3419,1434,1902,4488,3593,3318,3857,3569,3513,1700
"AT5G01020",3991,2745,3276,857,2777,2686,4056,2751,4407,4823,5000,3693,1922,1908,955,1152,1505,1404,3210,3771
"AT5G01030",3706,618,4544,2403,2170,3058,2787,2309,2250,2541,1197,1179,1096,133,2381,179,107,2414,2877,2384
"AT5G01040",519,3254,4720,606,2014,1709,1322,591,1235,3412,3669,1631,1317,1974,4108,839,4524,2918,3761,1626
"AT5G01045",1161,956,311,2404,2877,2689,4748,437,3052,2859,599,638,1466,501,1335,1322,4518,693,4081,308
"AT5G01050",872,2512,4555,677,218,4337,4573,1206,2831,4553,1363,1354,4876,3453,1013,2478,4951,1281,2386,2901
"AT5G01055",490,2985,2966,794,4172,2375,4228,1109,325,3205,2599,3517,795,3552,4282,2079,707,507,3454,3381
"AT5G01060",4890,2309,2658,1634,4497,3562,2602,2969,2019,332,4107,3390,36,4513,420,4834,1496,4024,2392,3269
"AT5G01065",4779,1817,2949,2904,4310,1862,2606,713,171,1352,3537,1264,2917,2334,2988,515,3267,1866,4938,658
"AT5G01070",3931,4421,4822,2362,4,4596,4201,95,4329,53,2911,4989,998,3720,4781,3632,571,3988,786,3384
"AT5G01075",3688,2149,3740,1295,4449,3284,4137,1576,2931,1462,2836,3143,4308,4641,2172,640,1372,1611,2368,4783
"AT5G01080",552,3772,930,1126,2186,683,3972,3419,571,3445,4845,2005,796,3804,2890,478,1825,3531,1901,3523
"AT5G01090",2390,3630,688,2391,3766,1483,2062,4087,2366,2875,3540,1508,351,3396,1080,2983,4315,1054,1901,1225
"AT5G01095",4074,1870,1836,2790,526,1343,3477,1459,3882,2594,3058,4491,3993,2707,13,433,4442,2142,1970,515
"AT5G01100",64,2003,959,3887,2710,2095,1965,3255,3142,4078,578,4124,4234,4387,4460,1079,75,3599,3101,747
"AT5G01105",4556,3272,2358,359,2124,2742,2656,3772,416,2782,1070,5000,3380,4438,738,1509,2766,4725,2273,1333
"AT5G01110",509,2455,3180,239,2649,251,1826,1501,1225,2078,3489,4023,2647,3962,2281,2788,4451,3717,4169,2176
"AT5G01115",3455,2496,2987,4203,3558,887,1352,1136,2081,593,2669,4220,4953,2690,1384,4260,4762,4047,3459,4860
"AT5G01120",1458,287,1845,4542,3798,4254,697,1575,4459,4292,3783,3771,255,1154,446,3804,770,2974,2454,3477
"AT5G01125",3497,1205,3701,3931,1343,2470,4482,3474,3904,4863,3673,2416,4681,3204,746,3345,2943,1223,4266,2369
"AT5G01130",2833,2820,2478,3030,3788,805,2963,3130,318,1919,1215,716,2894,661,2603,3389,1724,1536,1356,4336
"AT5G01135",1565,1109,970,3250,2551,780,456,2440,1125,4133,4488,1130,2618,3221,2132,2730,2473,4325,1771,666
"AT5G01140",2645,2662,2462,2128,3763,2425,2236,705,3008,3973,2893,4566,3055,939,1173,1712,2897,1498,1754,4963
"AT5G01145",3621,2101,1485,4126,135,4188,3014,1432,2070,4412,2587,1833,3806,3361,4005,1620,4236,4582,2992,3232
"AT5G01150",4862,1194,3354,1990,2572,4467,4817,915,108,4095,1086,4899,4577,466,3531,3679,812,3120,1119,2295
"AT5G01155",1596,4545,4125,363,4879,1943,4810,3127,1934,4134,3508,3156,937,2180,1263,1881,3973,1490,2878,2877
"AT5G01160",990,824,2190,4768,4152,1262,210,1949,1262,148,2756,454,915,768,2213,4491,1047,3690,82,3749
"AT5G01165",4728,4653,2430,2577,418,4087,159,3389,4044,1124,1850,2719,4749,3590,3905,4273,2914,800,2933,4448
"AT5G01170",4567,1219,4593,1545,3407,1067,1663,2806,4770,1503,4588,2748,879,783,2125,829,2347,3889,880,3674
"AT5G01175",435,1350,3485,3231,3405,1780,424,4688,2996,1873,1425,4755,497,2677,3771,1395,467,3931,891,1375
"AT5G01180",4561,4641,250,2372,731,986,2433,292,1463,217,2886,4525,966,3438,951,724,2327,2095,4742,4095
"AT5G01190",2060,4366,4318,920,668,1785,1964,3385,3296,170,4615,2559,3226,4530,4029,4676,4887,910,3664,594
"AT5G01195",1804,4518,578,2059,695,1847,4807,2441,869,36,2619,4232,2313,671,327,4824,4650,3668,1438,4023
"AT5G01200",1893,1963,961,4253,787,1006,3591,3388,999,2335,1805,1332,1455,1496,4693,844,1631,1831,2152,3885
"AT5G01205",4443,442,2222,4788,580,4798,4664,1262,4240,1018,485,2480,2520,4044,30,1481,4248,957,4148,3296
"AT5G01210",2914,4299,2391,2627,569,2605,1744,1362,3715,2158,3629,1834,4209,2167,3097,3305,4768,4011,3754,3770
"AT5G01215",4770,814,2829,2684,512,3265,1257,2139,4792,2262,3649,4369,2365,911,986,228,823,1219,87,719
"AT5G01220",1165,4467,4904,2703,3297,4608,4313,880,703,264,3539,2423,3338,282,1642,1068,1465,67,806,1686
"AT5G01225",829,150,3258,1777,2192,2641,3332,4839,417,1216,198,1379,3414,2283,3298,853,2676,3708,1298,172
"AT5G01230",1027,4223,4759,2063,3489,4537,4692,1998,1596,1009,3201,2945,3830,1677,2356,1750,3776,2594,4522,3502
"AT5G01235",3586,288,2439,607,2348,2542,3105,2762,1916,4346,3415,87,729,2988,1653,2863,3083,1657,622,1597
"AT5G01240",944,2427,1986,4348,2205,2832,1276,4618,4885,2302,1870,3633,233,1931,4926,3869,4969,1894,836,565
"AT5G01245",4169,850,1027,2863,4102,1191,2435,2757,2121,3397,4558,1891,1767,2496,977,959,3866,4947,3343,4997
"AT5G01250",926,1970,1955,4698,3185,810,4672,2204,2930,2322,273,2542,437,3865,4861,1015,4247,68,2052,118
"AT5G01255",970,3676,265,4206,2838,1464,1409,891,4301,296,4162,4353,4576,4239,66,1970,1776,3236,2044,3250
"AT5G01260",4917,642,2147,755,2640,4370,1107,302,728,580,963,149,4740,4835,3208,8,341,295,4144,3031
"AT5G01265",3133,3484,2629,4965,1602,16,4894,166,988,3322,1332,3933,4466,1234,2387,2346,3621,2831,2063,2111
"AT5G01270",3846,3296,4572,4935,2782,2227,193,1288,229,1673,2912,1101,4340,2587,2025,1304,980,975,4403,399
"AT5G01275",528,2099,2918,125,4286,4713,502,4605,4479,4492,391,1332,1435,3902,583,3241,485,3364,2795,3241
"AT5G01280",3630,74,2456,2108,2484,2212,3625,3781,1372,276,3315,2143,1177,1036,1670,771,4425,802,430,894
"AT5G01285",2008,3856,2435,4950,259,4311,1310,4886,4664,4877,4564,1388,4973,3954,2427,3109,1301,1119,1606,3126
"AT5G01290",4915,4961,3253,4546,281,2638,149,3974,2970,4069,3796,500,67,112,1711,4277,2256,2062,3427,808
"AT5G01295",4494,435,4678,3146,1445,3293,1469,1000,1204,3570,4784,584,431,536,316,924,1411,197,1098,365
"AT5G01300",4388,4780,3963,897,685,2949,2081,4710,569,4562,3335,2094,1741,2489,2776,2980,623,2222,4672,3842
"AT5G01305",2204,3510,3256,2251,3415,662,4457,540,4487,3261,4895,286,946,1225,1738,3981,2774,4036,509,32
"AT5G01310",4013,4862,1260,3336,4796,2935,752,3362,4091,2038,4226,3572,429,953,304,1338,1765,2811,778,1629
"AT5G01315",4486,2568,1139,2049,1316,1791,4572,527,3460,112,3280,637,761,3035,1053,3496,2691,934,3174,4810
"AT5G01320",968,91,74,2466,4188,2646,706,1172,4458,3873,4288,3222,4787,1994,3287,1852,2627,3123,2327,1038
"AT5G01325",3726,2263,1371,3220,1055,3326,168,860,3964,2266,2061,843,4475,173,294,2711,2568,3746,3235,3293
"AT5G01330",4267,1911,357,2131,347,4852,4420,1095,2197,1558,3148,2378,707,3712,1841,2539,2714,3646,1036,1233
"AT5G01340",1565,3257,1905,4676,2175,3170,2349,3448,319,4418,366,3689,1913,661,1835,831,2289,1899,4269,3974
"AT5G01345",4958,4999,481,4239,3306,2537,412,1548,4741,3153,1935,2268,4523,1235,3347,3141,2755,2202,839,3647
"AT5G01350",1709,100,3382,1112,867,4019,4012,1512,249,3068,4622,2204,2395,3218,1897,1427,4210,4333,3779,4073
"AT5G01360",4548,2454,591,54,396,4174,2253,1018,4248,2609,4954,3221,88,2800,3660,294,89,1724,780,4094
"AT5G01365",1383,1263,1103,4051,1154,3135,4748,4263,2224,4085,3504,2214,1777,2338,2549,3694,2261,3781,3524,2016
"AT5G01370",1464,3607,821,4203,1224,1340,1170,2014,242,1109,1207,2535,3607,4642,4643,1795,537,1616,3293,985
"AT5G01375",4228,4971,1549,3698,3312,3018,3344,615,2,2294,2567,1479,2118,2281,1363,3558,1857,3484,3521,3865
"AT5G01380",2531,4820,2684,876,2469,4634,3772,4490,4489,1529,4133,989,365,40,130,3966,1371,3855,4951,2387
"AT5G01385",945,3600,2788,4384,4345,4882,3447,1918,3075,4601,1295,3384,1153,1286,2876,2027,3527,1266,3006,2266
"AT5G01390",2271,4326,2007,3580,3407,3549,4298,2938,2231,161,4284,1683,4819,4681,3765,2103,4068,4093,1175,2133
"AT5G01395",1874,737,2151,411,2657,3650,3522,4144,3501,2548,3801,2950,1039,914,1370,2885,2287,2950,4508,2275
"AT5G01400",4662,707,3355,393,4772,2511,2392,4525,2017,1815,758,2752,2928,2298,2308,243,4321,2563,2057,1972
"AT5G01405",2958,3472,765,4685,2101,1609,443,3386,1818,3579,4532,2086,407,4747,662,3971,1510,1973,61,3920
"AT5G01410",2003,1708,4666,3258,3257,3403,3792,4209,339,823,378,1114,1491,1066,3469,4731,3226,4890,2043,1316
"AT5G01415",672,1025,1979,230,4353,133,4934,3243,1990,253,3179,2102,387,4575,4252,219,2546,4731,1711,2186
"AT5G01420",3899,1506,899,3306,4275,4620,1517,2837,1159,2650,4943,4317,4482,560,3964,4789,4912,136,2495,2232
"AT5G01425",4202,1114,4796,3135,3026,3311,2310,951,2567,4063,664,2238,2431,77,1757,3431,3396,4838,4175,3068
"AT5G01430",2774,4514,3938,2673,56,433,1491,3180,4875,3042,2179,272,1420,3087,1435,4417,1526,4702,2096,1423
"AT5G01435",4162,2463,1281,3461,843,1257,513,1670,1790,3340,4010,4814,267,830,3483,4208,1737,3275,2375,4765
"AT5G01440",4470,3664,3009,187,4374,3170,4216,4319,3017,4068,619,1832,1139,3634,847,4061,3859,1693,3679,4974
"AT5G01445",3001,4732,3386,1954,4133,4809,3922,2987,3071,3992,2656,1327,545,747,2477,3762,355,2981,4453,4322
"AT5G01450",4639,1342,1056,597,3828,2562,1717,304,3138,569,3456,1477,521,309,3880,233,3419,2382,736,4108
"AT5G01455",4580,4857,3980,3773,3629,990,3277,615,2446,1099,420,3110,2996,4671,4648,1682,1054,3818,1922,2863
"AT5G01460",441,2043,1096,1216,739,884,4057,3272,1583,3614,1908,2344,2190,1088,2585,2489,2795,2322,4957,502
"AT5G01465",2289,4793,923,2049,3135,2315,2537,1293,3669,521,4042,4289,4737,1546,1147,1599,3733,202,1403,1509
"AT5G01470",535,4959,2042,3061,2440,1195,1839,1205,3982,3741,2630,4000,4217,2439,556,1710,1959,2977,2598,1402
"AT5G01475",914,1183,3631,1459,4095,921,4518,4678,4747,2660,3305,2394,84,1943,255,486,2604,3767,211,1227
"AT5G01480",4548,4042,3363,2003,696,567,2738,212,779,2202,3247,1650,179,1754,4668,3985,1930,958,3745,1983
"AT5G01485",788,3431,4025,3778,1386,492,4428,493,2254,4055,3207,2717,721,3406,2577,1275,4183,2236,397,3434
"AT5G01490",853,507,1239,1776,4344,4881,3782,2595,4776,4193,4428,838,794,3661,2163,1684,1124,353,574,2558
"AT5G01495",4831,2057,2691,2807,2992,1375,2006,4533,1520,548,4249,2210,3819,869,756,1321,1015,4773,2272,2472
"AT5G01500",550,1309,2033,4070,2227,34,2258,3129,232,2759,1813,3346,2774,2905,1425,1965,2795,578,4989,4853
"AT5G01505",67,4825,4558,3516,3277,2135,3741,4025,145,313,946,1881,1214,2533,321,3382,1768,1997,2713,4009
"AT5G01510",2444,122,3650,907,3016,4219,2674,4486,3138,396,3237,4935,1877,2109,92,4366,3607,1036,1441,1214
"AT5G01515",4728,4803,4666,1423,980,353,2806,1020,3150,2458,4898,2848,1253,2313,3679,3195,723,3574,3036,3214
"AT5G01520",3963,3510,2111,1830,677,3078,905,4349,518,2114,2507,2083,2601,4692,1967,1515,3059,4421,1278,3547
"AT5G01530",3262,4172,1459,2437,4896,3220,4681,341,3868,776,3255,4954,3801,4626,119,1818,4990,3340,365,3816
"AT5G01535",4865,1193,3695,3507,3430,497,4970,909,4878,1227,1391,4614,1300,4519,1163,2128,1922,2984,2564,1171
"AT5G01540",3720,142,307,1849,707,2729,2272,891,2274,194,4491,2428,3268,4176,2386,1810,4578,1188,1749,3897
"AT5G01542",1167,4637,3471,1180,2373,407,1255,683,1028,4155,1756,3488,4049,4494,1011,1881,2782,2680,663,1624
"AT5G01545",2070,4938,1135,2061,4257,1285,2492,4798,2617,1875,3341,3834,530,797,1781,715,1975,4470,3876,4440
"AT5G01550",1290,4843,1544,250,2852,2835,3469,2169,4751,4969,3513,733,1994,4431,4333,3385,2953,2571,1402,2511
"AT5G01555",3610,3970,1801,829,1700,725,4459,3417,4706,3416,328,2234,10,306,4800,1758,3912,1893,4043,2482
"AT5G01560",2086,1137,3255,2870,3926,3348,4976,3338,4642,2217,3040,1739,1190,4976,2428,2546,2,2058,1188,2498
"AT5G01565",1702,212,1846,776,2890,1053,1478,2477,247,2761,4979,2392,1366,3406,287,4901,4663,980,4832,3194
"AT5G01570",3081,2679,3848,1065,3488,2498,3588,3177,2027,4951,3658,4504,1779,1469,3184,2318,768,566,4836,2182
"AT5G01575",4945,2048,3254,4313,3958,1697,596,810,2700,1607,1487,3939,2187,1680,4686,1331,3389,1923,4712,618
"AT5G01580",495,2982,822,4565,1694,4560,4570,4940,3499,1954,2704,2922,4421,3755,976,1294,4883,1816,3739,165
"AT5G01585",3973,4313,2679,3124,200,4059,3181,3418,3423,4089,609,2757,3723,4450,2062,4613,202,301,1527,2568
"AT5G01590",2296,358,3047,315,3206,3704,3960,3346,2824,903,4573,1806,2470,2343,2163,209,148,4332,1961,4095
"AT5G01595",846,3594,3044,551,2126,1260,1757,1534,1014,3621,3626,4161,2199,2446,1761,4396,2179,3775,3483,4910
"AT5G01600",466,3236,1648,906,3648,3720,2825,2115,4346,2326,2070,4079,2410,4454,2134,1032,4069,1386,395,680
"AT5G01605",4246,2971,368,4167,4319,3375,1660,2452,3708,756,1057,1484,3603,3586,559,3203,2356,3718,2161,2257
"AT5G01610",1136,2783,2619,1604,784,2448,3796,273,1687,949,2852,661,631,4315,2365,4696,3467,645,47,2287
"AT5G01615",12,2296,3108,1018,3106,2253,3436,3321,1148,400,4974,3101,1120,2127,3900,3949,4030,2973,2488,4572
"AT5G01620",443,2310,2590,228,1580,2862,4125,3855,3627,3728,1763,1999,1386,2146,2793,3593,3809,3072,2725,1670
"AT5G01630",3495,4217,3322,4289,485,2369,2236,3409,1627,1202,4678,4633,2818,3060,2642,3135,288,4361,33,270
"AT5G01635",1129,2180,3279,2871,1206,59,2951,806,4771,2606,4451,4555,1643,3308,1443,2286,3646,859,1,728
"AT5G01640",722,29,1811,2740,1712,2880,990,3323,3996,2081,3529,1612,2304,50,1648,840,189,4238,191,1626
"AT5G01645",3322,2560,4244,2786,2666,2323,2039,2413,3679,2036,4421,3783,3037,4228,1092,946,3128,390,2509,4071
"AT5G01650",1345,3094,1203,601,3647,4437,726,872,33,1880,2063,2119,4923,948,1558,4256,1216,451,1478,1538
"AT5G01655",395,1925,3249,1168,3337,21,1952,1142,1850,4338,4009,3210,1641,4035,4465,4032,1001,136,3705,2940
"AT5G01660",1815,3879,2684,3441,1001,3488,3024,1272,262,3391,1611,3041,2812,3276,4912,953,4056,249,3637,3438
"AT5G01665",2669,4164,1671,1129,4822,4260,4994,34,3595,2405,4179,3897,2180,72,1535,4146,4350,3129,2738,337
"AT5G01670",2592,4438,2249,2884,4902,4880,2652,1888,971,4079,1389,3272,1939,2617,127,2129,1788,337,574,4016
"AT5G01675",4848,60,2280,33,2339,3171,2219,596,1676,4713,97,2655,360,4509,2848,4964,1209,3200,2023,4040
"AT5G01680",989,4537,742,1096,1983,2105,4584,291,1622,4796,2924,1210,2908,691,4465,234,1567,986,3280,2582
"AT5G01685",1127,1265,759,174,151,4306,2012,4507,1417,275,1305,1140,4823,3745,3938,2677,3546,2616,4285,2807
"AT5G01690",3542,1422,1663,451,3991,2125,2340,4971,229,4323,1126,1470,3604,4067,3321,4588,181,149,2093,4709
"AT5G01695",2928,2291,48,885,1855,922,1950,666,4159,4605,3154,687,4427,923,2727,3703,3621,1135,2788,4581
"AT5G01700",1967,2740,2675,4536,4830,274,959,2314,3380,3680,681,1189,3328,1041,72,1200,2552,2211,1420,3665
"AT5G01705",1535,4150,4321,2448,4225,4298,699,3427,1546,3059,1157,1814,3004,3039,2518,4941,136,2214,2249,4443
"AT5G01710",3221,1432,2892,4673,3130,3288,3151,4787,1504,4886,4215,863,4275,1681,1566,2008,2049,2673,1621,4853
"AT5G01720",2872,651,4200,2818,2603,489,1971,4262,304,1107,3458,2861,1832,3925,3917,2362,110,2869,4007,4385
"AT5G01725",1652,879,4830,975,2239,742,4602,616,830,1031,3188,2328,1299,4821,174,3047,3568,3165,3197,128
"AT5G01730",592,677,1447,2980,186,2636,296,4466,2534,1136,565,1684,3638,2062,3050,1036,3696,1129,3079,4894
"AT5G01732",2928,698,792,2852,3644,267,327,4825,2664,2582,1367,587,2236,4921,4771,3142,365,3941,3121,2503
"AT5G01735",2396,928,2701,2254,1044,4408,3336,98,4437,4298,4571,2007,4536,2745,3725,4553,2955,3425,1781,1298
"AT5G01740",4997,3867,4324,1270,2498,1632,1296,1707,3858,1715,3515,2749,4295,3945,1180,4698,2920,1467,3532,2680
"AT5G01745",362,1979,712,4171,3430,4825,3597,4502,1070,4827,3354,4793,1428,2108,3246,4750,180,2579,2913,3558
"AT5G01747",1509,3784,439,3945,2180,3351,4095,1859,620,2688,1852,4272,2971,973,1469,4933,53,4480,336,22
"AT5G01750",211,2321,4288,1452,2774,4328,3161,1047,2329,4359,1388,4864,4388,3239,4716,3555,3851,1299,1437,418
"AT5G01755",1167,990,3322,2595,4596,4276,4627,1284,3612,3884,4125,4139,3821,1868,1630,3850,3578,4023,2243,3270
"AT5G01760",2455,4026,3484,3327,219,1043,2013,2523,132,4771,3570,1138,2478,4217,1726,744,1107,2967,2828,237
"AT5G01765",4601,4857,4366,2394,1955,1062,1674,2581,1261,322,3878,3391,1458,2098,2198,4461,4976,3283,989,3824
"AT5G01770",2213,1554,3125,4948,602,711,819,1376,2539,393,1608,3172,4950,4997,4470,1255,1672,2109,1337,1060
"AT5G01775",2891,836,991,150,730,4648,2355,1929,2736,4798,2028,54,3351,113,3542,4604,3865,3231,3963,3941
"AT5G01780",4681,3039,4027,3082,4595,457,3515,142,2998,1684,2268,609,3777,1119,4297,3542,3735,3101,1098,3383
"AT5G01785",1725,3372,1874,2880,2440,486,1018,4841,1518,4342,4385,2655,2164,4479,895,1717,1930,1412,1983,1455
