"","Mmus_C57-6J_LVR_GC_I_Rep1_M31","Mmus_C57-6J_LVR_GC_I_Rep2_M32","Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Mmus_C57-6J_LVR_GC_C_Rep1_M36","Mmus_C57-6J_LVR_GC_C_Rep2_M37","Mmus_C57-6J_LVR_GC_C_Rep3_M38","Mmus_C57-6J_LVR_GC_C_Rep4_M39","Mmus_C57-6J_LVR_GC_C_Rep5_M40","Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Mmus_C57-6J_LVR_FLT_C_Rep5_M30"
"ENSMUSG00000024653",954,2240,3919,1337,1193,2654,2360,4465,2492,1770,368,4539,3282,1748
"ENSMUSG00000024654",1694,2147,2982,1950,186,4159,2276,4351,2927,4327,4127,3814,944,3392
"ENSMUSG00000024658",760,4184,1786,991,1219,2552,3829,999,3374,2355,2954,4824,1149,2400
"ENSMUSG00000024659",4541,3017,2614,2808,298,1638,4514,4302,2667,4570,839,3473,1608,4732
"ENSMUSG00000024660",171,4250,4245,3700,1453,3287,455,4896,173,795,2369,546,3654,1095
"ENSMUSG00000024661",187,4963,3617,2576,2830,4508,4678,3679,3572,3289,1243,851,2667,500
"ENSMUSG00000024663",3844,3559,2916,2234,4093,4493,2413,4492,1023,4455,484,836,3264,3369
"ENSMUSG00000024664",3950,702,2161,3725,3058,1229,4930,3758,2652,3915,312,1600,357,1509
"ENSMUSG00000024665",1437,242,3036,4813,4780,608,3446,4055,2250,4196,4574,125,1617,807
"ENSMUSG00000024666",1335,516,4210,2377,4876,1836,2103,1535,1011,1332,2419,635,3659,4037
"ENSMUSG00000024667",2335,76,3849,3978,4604,2596,4207,1034,4576,1577,1878,1792,4763,3795
"ENSMUSG00000024668",828,4659,4165,3696,2385,399,3843,105,2876,130,4953,3565,3146,4334
"ENSMUSG00000024669",4599,4845,517,3073,3116,486,4245,4148,217,3169,4001,323,3901,1246
"ENSMUSG00000024670",2632,1237,2986,1186,2543,746,3681,4480,1123,4111,4145,1615,83,2755
"ENSMUSG00000024672",3139,1006,2248,3763,765,3099,133,2619,4655,2466,1762,506,1663,9
"ENSMUSG00000024673",2723,4672,3485,438,2354,2850,3184,2791,75,3719,4693,1590,704,2314
"ENSMUSG00000024675",2328,2667,2971,4120,1547,331,1438,3699,2324,2932,354,4649,74,618
"ENSMUSG00000024677",3991,3570,735,1495,3072,3943,4587,1097,124,2097,2200,4152,4588,4878
"ENSMUSG00000024678",3706,615,1785,3495,4677,678,307,4544,4757,4566,4134,4587,2094,4354
"ENSMUSG00000024679",518,2747,1377,4772,60,3772,2538,659,4066,2456,1874,2618,932,4584
"ENSMUSG00000024680",1161,989,210,4695,2917,2711,40,3510,2602,3728,3712,4717,1007,4534
"ENSMUSG00000024681",872,110,2660,555,821,3865,3332,1735,127,4159,138,594,4932,353
"ENSMUSG00000024682",490,1748,3900,1486,47,3182,3692,1141,1275,4879,1021,1700,205,685
"ENSMUSG00000024683",4890,4142,319,3597,2282,971,4532,2043,1628,5000,4556,1411,4932,4277
"ENSMUSG00000024687",4779,1126,3433,68,911,4095,3992,142,2501,612,668,2375,292,2067
"ENSMUSG00000024691",3931,3842,562,1349,2080,553,527,2591,358,286,4391,3114,4968,1078
"ENSMUSG00000024694",3688,2135,4534,1363,4519,4888,814,1143,4513,4666,2719,1229,1348,3054
"ENSMUSG00000024695",552,2882,4427,277,1905,1156,85,3006,4205,1878,4286,3257,4724,991
"ENSMUSG00000024696",2390,330,2014,2871,3208,882,1286,2910,3966,3728,3558,4979,4602,294
"ENSMUSG00000024697",4074,637,899,2562,607,3120,3716,2684,4757,757,4918,1576,421,3898
"ENSMUSG00000024712",64,3070,1277,2300,4661,4101,4328,413,3474,4340,1211,1489,770,51
"ENSMUSG00000024713",4556,121,2130,589,934,4827,3072,831,1300,1044,829,1311,146,1477
"ENSMUSG00000024725",509,4828,476,3098,1192,3996,1107,3113,4804,3184,4781,3185,974,3103
"ENSMUSG00000024726",3455,2643,2298,4877,2306,3393,4519,2815,4220,4719,3115,932,1264,2211
"ENSMUSG00000024727",1458,1001,730,3702,1703,4496,4664,1339,4407,1584,4364,3560,2858,3449
"ENSMUSG00000024728",3497,2458,4009,1711,3602,381,2289,1234,4673,4683,4531,405,2333,2121
"ENSMUSG00000024729",2833,4393,4571,518,2826,1265,3966,468,4324,2744,1580,1053,2460,2672
"ENSMUSG00000024730",1565,1138,630,3325,4220,4278,2103,4312,4209,860,556,4800,4795,1350
"ENSMUSG00000024731",2645,4722,2339,182,1292,4092,30,991,2930,4105,4805,1142,4318,2451
"ENSMUSG00000024732",3621,4751,2412,4174,3140,1274,2,2943,3636,3124,2035,1931,4195,1427
"ENSMUSG00000024734",4862,2806,2746,2747,1631,863,2556,1104,277,1372,335,3640,3311,421
"ENSMUSG00000024735",1596,678,4824,890,4851,2825,4502,239,3357,387,1293,4268,2375,2405
"ENSMUSG00000024736",990,4694,1569,2333,3368,1902,1420,3157,2176,2426,368,3008,3016,79
"ENSMUSG00000024737",4728,3035,1609,876,2745,3165,4356,1788,3414,4000,2142,2031,2833,3970
"ENSMUSG00000024738",4567,1257,4136,4602,2433,2372,442,3137,3468,1636,3405,1270,3560,3289
"ENSMUSG00000024740",435,632,4947,1285,4615,3091,1609,2025,3036,1173,4796,4940,1117,1138
"ENSMUSG00000024742",4561,4262,3289,3995,3295,2747,490,4417,3082,27,4107,4115,1309,3065
"ENSMUSG00000024743",2060,4367,4544,2619,413,2468,2577,1583,1099,2648,3065,3392,419,4164
"ENSMUSG00000024747",1804,46,3654,2920,277,2274,2814,4372,2224,4088,951,4119,3817,317
"ENSMUSG00000024749",1893,1841,3463,3687,4862,3089,2105,2853,951,4897,2074,1860,1770,3477
"ENSMUSG00000024750",4443,3523,4863,1195,1835,1768,4948,1472,3620,1367,2835,2842,389,917
"ENSMUSG00000024754",2914,49,3094,1242,3813,226,2737,912,377,597,2228,1896,3326,766
"ENSMUSG00000024757",4770,1996,8,352,2932,338,3695,561,3612,2568,4123,3819,4549,1097
"ENSMUSG00000024758",1165,3108,4335,4178,3866,4602,136,4100,3071,2317,4728,1837,3315,3358
"ENSMUSG00000024759",829,1354,1825,287,4950,1354,419,4807,4352,3818,4761,3914,336,3016
"ENSMUSG00000024761",1027,221,4037,96,1092,460,4968,1472,2158,4615,2432,4651,4773,4655
"ENSMUSG00000024764",3586,1979,4735,3150,4085,126,75,1683,3530,3668,3911,1475,4064,1894
"ENSMUSG00000024766",944,2152,3955,4356,1881,2138,2003,435,4122,2463,1182,1247,2309,3032
"ENSMUSG00000024767",4169,340,1981,3566,3338,1175,4810,3813,796,2717,4447,2558,1945,837
"ENSMUSG00000024768",926,3658,2769,1115,3455,2880,2036,770,2416,4377,397,3826,1334,2041
"ENSMUSG00000024769",970,677,705,434,4460,1456,1216,1825,255,30,4990,4383,3973,731
"ENSMUSG00000024770",4917,3782,4310,4908,2776,2123,3026,2019,3591,42,965,167,2880,3356
"ENSMUSG00000024771",3133,2702,3580,4828,2390,3533,634,898,3321,1695,165,2127,3085,1915
"ENSMUSG00000024772",3846,4639,3610,2088,3728,1127,3056,3444,4707,4234,3304,1311,2988,1777
"ENSMUSG00000024773",528,1681,2231,351,2912,3794,1145,2054,1002,3372,2191,499,1201,4808
"ENSMUSG00000024774",3630,4260,2114,4711,3957,4187,786,3824,1808,3516,4167,2350,1738,802
"ENSMUSG00000024776",2008,934,3707,659,2831,1059,4420,427,1023,2039,1125,586,3032,96
"ENSMUSG00000024777",4915,610,4713,3137,2427,1360,1335,3612,1963,295,4389,4895,1872,1146
"ENSMUSG00000024778",4494,3864,4791,4273,2314,4277,1921,3844,241,2701,2306,3003,3602,3975
"ENSMUSG00000024780",4388,2011,110,1937,898,4934,4078,171,2510,53,4364,1051,4580,3414
"ENSMUSG00000024781",2205,2520,4939,3449,4565,4641,4048,1171,1457,3773,2716,4523,1371,3590
"ENSMUSG00000024782",4013,1217,1962,1986,3000,4734,2387,2427,1092,703,1119,1961,3422,2447
"ENSMUSG00000024784",4486,1000,2669,3686,2495,3765,2380,3617,1419,4114,4792,2819,3219,3691
"ENSMUSG00000024785",968,2615,3883,4341,3329,2511,3233,3565,2935,406,2444,3145,4902,4377
"ENSMUSG00000024786",3726,3291,2996,2235,2601,3721,4922,1720,2034,4479,2385,2640,224,4383
"ENSMUSG00000024787",4267,1028,4963,229,4612,481,189,3291,3888,3019,3694,208,2863,4256
"ENSMUSG00000024789",1565,3673,53,4265,855,1513,4087,293,4192,2671,1855,804,1322,3136
"ENSMUSG00000024790",4958,3793,3346,1897,3046,4647,2050,1180,4477,2000,2964,2046,1350,3404
"ENSMUSG00000024791",1709,1355,1252,4194,3658,400,4481,3350,2400,1917,984,3680,271,1306
"ENSMUSG00000024792",4548,1699,3738,4828,3404,274,4359,2003,2369,1217,3619,2309,1151,2296
"ENSMUSG00000024795",1383,3911,3110,1549,3307,985,2902,1634,131,1584,2795,4762,2266,1359
"ENSMUSG00000024797",1464,1884,3599,4645,3925,4016,1510,3718,959,2170,1570,85,2592,1682
"ENSMUSG00000024798",4228,0,294,4886,262,3639,2655,1135,2516,1894,3120,1209,4358,3137
"ENSMUSG00000024799",2531,4409,2064,97,3628,2856,2424,3291,4509,3139,4496,434,2671,1340
"ENSMUSG00000024800",945,3986,872,2116,594,4093,1650,2869,4414,4787,2281,945,2836,4606
"ENSMUSG00000024803",2271,2989,2900,3195,458,1125,1267,3834,2977,390,1894,2334,2655,975
"ENSMUSG00000024805",1874,886,3911,4225,4594,1987,3953,2782,1788,942,2127,4225,2784,3139
"ENSMUSG00000024806",4662,2054,1923,2219,2493,3780,3249,1864,4518,2259,2974,39,601,2574
"ENSMUSG00000024807",2959,3805,4870,3864,2578,4357,2987,1110,868,1699,175,3717,4838,766
"ENSMUSG00000024810",2003,3285,2628,4312,1591,401,1330,1720,1318,3556,4930,1811,4383,566
"ENSMUSG00000024811",672,793,2645,1732,1530,33,565,1250,3882,678,4799,1875,2252,1635
"ENSMUSG00000024812",3899,1175,1338,4945,3077,675,3216,3113,4709,4653,171,4810,2336,2219
"ENSMUSG00000024815",4202,4465,3731,181,3489,4206,2020,3058,879,3300,4429,622,4188,4195
"ENSMUSG00000024816",2774,3654,2053,569,4762,3008,1147,1918,2553,4957,3975,1766,1216,4330
"ENSMUSG00000024817",4162,2276,3708,1263,1039,4944,2883,709,1755,508,4868,2794,50,311
"ENSMUSG00000024818",4470,1507,2323,1220,2678,2103,1343,4658,1688,4545,2727,3568,3237,2363
"ENSMUSG00000024824",3001,1229,2801,4529,3627,3067,2684,551,1504,2883,4471,1142,3944,1897
"ENSMUSG00000024826",4639,479,3408,1027,2937,4686,3280,3812,652,3751,1456,2437,701,1612
"ENSMUSG00000024827",4580,1306,287,2227,2331,1395,917,4509,2482,4715,3333,1203,651,3306
"ENSMUSG00000024829",441,2955,2681,3914,768,3927,3239,1975,4224,1078,3711,2782,596,3649
"ENSMUSG00000024830",2289,402,1442,3068,3446,2544,2337,4380,2306,1634,3349,3149,2740,1755
"ENSMUSG00000024831",535,2744,3042,1908,3095,1259,991,1070,2005,1130,2144,1760,3526,3039
"ENSMUSG00000024833",914,1728,4747,2882,2848,2557,3444,2598,4300,900,1355,1802,783,4693
"ENSMUSG00000024835",4548,3773,3781,222,1012,1885,285,1713,3933,229,1870,1527,3883,4266
"ENSMUSG00000024837",788,3270,823,1170,4087,685,534,1368,3798,236,4916,1961,926,985
"ENSMUSG00000024841",853,2574,3124,1717,3683,3681,3238,4211,1050,2325,1160,4965,4043,3296
"ENSMUSG00000024842",4831,4035,2556,1672,413,1440,3093,4339,3829,1881,4443,1386,4725,87
"ENSMUSG00000024843",550,2480,40,4477,131,337,1903,4996,2422,3043,362,2178,4067,2451
"ENSMUSG00000024844",67,340,4483,446,1507,1838,3451,1661,1653,2975,431,1227,1437,3142
"ENSMUSG00000024845",2444,906,2148,354,1176,2159,883,4297,2646,3476,3374,282,1420,3819
"ENSMUSG00000024846",4728,2574,4741,2754,3988,2080,9,2814,2981,2193,3502,1117,4462,3829
"ENSMUSG00000024847",3963,7,2084,3200,4810,2044,3670,4496,2352,3679,4448,3302,4980,4473
"ENSMUSG00000024851",3262,1448,4643,969,3231,170,4902,4072,1868,4202,1498,1088,3607,57
"ENSMUSG00000024853",4865,412,3299,2455,2973,1838,2153,264,3916,3823,114,1951,1653,4647
"ENSMUSG00000024854",3720,4390,1054,302,1465,1697,2084,990,1107,3402,4166,3987,184,1325
"ENSMUSG00000024855",1167,3948,946,2030,4194,1971,2545,4463,1628,3703,1792,3523,1206,3297
"ENSMUSG00000024856",2070,2801,2580,2457,4528,4233,4488,2579,4463,3417,1229,2102,2560,1852
"ENSMUSG00000024857",1290,1675,2601,3713,3891,2955,994,466,3395,3022,3155,3356,3593,198
"ENSMUSG00000024858",3610,4146,696,2238,2598,4374,2673,2096,280,3800,556,3413,1374,153
"ENSMUSG00000024862",2086,3013,4317,4896,2838,2745,340,2176,1139,2746,4705,4790,3461,4353
"ENSMUSG00000024863",1702,1363,766,4552,1067,618,119,2556,1181,1623,1035,2349,1099,2590
"ENSMUSG00000024866",3081,4509,1759,4838,841,3254,3649,221,3281,4850,1232,493,2926,3622
"ENSMUSG00000024867",4945,3724,1216,4331,2488,956,4198,1315,4458,3027,4520,4022,4525,4927
"ENSMUSG00000024868",495,1123,593,3138,4687,2512,2261,3969,4707,2686,4696,3272,2701,3493
"ENSMUSG00000024869",3973,4736,3282,2316,2985,2985,299,4382,1734,3005,2261,1741,834,4697
"ENSMUSG00000024870",2296,2376,3503,2659,1984,2309,3581,1792,4357,3199,1690,853,3898,2160
"ENSMUSG00000024871",846,4935,660,4536,4049,1817,787,4993,2918,1506,3104,4336,751,2273
"ENSMUSG00000024873",466,329,3788,2882,3981,4421,2771,458,4854,2881,2661,4861,1651,1720
"ENSMUSG00000024875",4246,3911,3114,728,1670,2149,3648,2475,1922,608,478,3186,4902,2576
"ENSMUSG00000024878",1136,4329,4226,1451,838,3772,3585,2689,741,2052,2086,1255,1654,155
"ENSMUSG00000024883",12,2148,2492,3427,3692,3630,1547,3269,4556,2196,1953,655,3102,1470
"ENSMUSG00000024885",443,602,210,2916,4938,1870,3813,1247,2512,4405,2567,3003,93,2946
"ENSMUSG00000024887",3495,1403,1940,3211,744,2003,1001,1316,1063,1430,1763,3360,1259,4895
"ENSMUSG00000024889",1129,875,3405,2404,583,3272,3559,2010,137,1392,2990,2607,237,4213
"ENSMUSG00000024891",722,2461,4386,3118,1571,2455,2008,1665,4600,1954,1016,2209,439,2642
"ENSMUSG00000024892",3323,3141,2016,4202,4320,2496,909,657,4410,1024,4490,3179,3324,1827
"ENSMUSG00000024896",1345,3863,4814,924,4102,287,1081,1052,3622,2772,1772,3026,137,4471
"ENSMUSG00000024897",395,2512,4701,65,963,1205,3133,1660,3777,4680,4029,1041,4337,444
"ENSMUSG00000024899",1815,3833,3971,2109,3944,2820,4716,2479,1361,1782,2082,66,3242,4331
"ENSMUSG00000024900",2669,1273,3121,487,2788,1109,4823,1207,2957,852,358,3771,3392,2938
"ENSMUSG00000024901",2592,4711,1793,1118,554,2662,1599,605,2021,4693,458,1047,3128,3233
"ENSMUSG00000024902",4848,3875,4364,3951,1854,2101,4129,1480,2458,1138,118,2973,3694,2040
"ENSMUSG00000024905",989,2478,2684,177,717,1194,854,2696,646,4314,2178,796,3345,2543
"ENSMUSG00000024906",1127,4935,3873,304,1917,4545,4881,3732,941,193,152,3992,1527,1236
"ENSMUSG00000024907",3542,4984,487,809,197,824,3912,1962,1507,4449,3293,4011,3184,4836
"ENSMUSG00000024908",2928,1257,3198,1917,3856,4653,3164,1461,471,928,1871,4828,2587,146
"ENSMUSG00000024909",1967,4146,3651,264,1923,1219,2443,3002,3143,2324,2652,4394,4091,157
"ENSMUSG00000024910",1535,2624,708,4993,3370,1350,1977,4291,4981,466,2039,4547,2919,2666
"ENSMUSG00000024911",3221,34,30,3750,3588,4641,305,766,1426,2050,3676,604,1945,1345
"ENSMUSG00000024912",2872,238,78,2339,3286,4366,3127,2347,4838,4639,4998,3116,720,3261
"ENSMUSG00000024913",1652,4226,775,2116,2042,4518,3943,1493,4224,2164,1503,731,2637,4974
"ENSMUSG00000024914",592,1282,3471,1196,4662,1963,3313,2399,3153,2084,1650,774,4113,2519
"ENSMUSG00000024921",2928,1104,4618,1527,1207,442,4221,4807,261,3308,3645,2494,4199,4366
"ENSMUSG00000024922",2396,2616,1717,2582,4364,4299,4703,4393,2620,3149,2945,3975,1007,4981
"ENSMUSG00000024924",4997,3120,1377,3357,1174,814,418,1738,3642,772,126,3004,3745,2229
"ENSMUSG00000024925",362,4311,467,4985,3920,4467,3457,1989,2317,2027,2262,3323,3597,274
"ENSMUSG00000024926",1509,605,3556,2703,4515,150,4626,1573,2453,4687,3329,617,2706,2249
"ENSMUSG00000024927",211,3955,3375,3913,205,4223,3269,226,998,3999,1256,286,1629,2897
"ENSMUSG00000024935",1167,1093,1204,2508,2808,288,3971,1173,4511,4038,3444,1237,2144,1993
"ENSMUSG00000024936",2455,1901,3515,2192,4863,2427,2062,4509,4065,3304,4798,3309,3820,4776
"ENSMUSG00000024937",4601,1899,2059,452,3468,850,4520,4829,752,4375,722,2513,144,3571
"ENSMUSG00000024939",2213,4809,1697,2450,3895,1970,1360,1982,2459,683,3859,3789,4765,4336
"ENSMUSG00000024940",2891,2299,4448,4833,2583,3676,2296,863,3931,434,4372,324,436,397
"ENSMUSG00000024941",4681,976,1181,1639,4552,642,523,1034,1129,4782,4884,3592,3410,2985
"ENSMUSG00000024942",1725,1704,2869,4334,3585,3484,1861,483,4988,1529,1042,3181,2160,3232
"ENSMUSG00000024943",2246,2758,2029,774,1239,3296,4396,34,2485,745,2259,3351,4721,3218
"ENSMUSG00000024944",1450,4834,616,3138,1879,2099,2119,161,1154,2388,4099,2285,1452,3692
"ENSMUSG00000024947",3436,4450,1695,2254,2465,74,853,4822,3614,4710,2067,4773,145,4452
"ENSMUSG00000024948",63,3343,3578,2863,605,3856,1173,2484,2706,2762,1337,1813,1121,3168
"ENSMUSG00000024949",1845,3455,358,2100,3879,4961,2262,2556,1228,998,4369,3546,303,1396
"ENSMUSG00000024953",3300,2413,158,2485,2981,435,1645,3220,2137,937,1272,2691,2268,3496
"ENSMUSG00000024955",4327,2323,1220,2572,1196,4780,2471,2798,3432,3576,1631,1587,773,1991
"ENSMUSG00000024957",1228,4830,4599,1493,1252,3510,1096,1214,2586,439,327,2423,3384,4169
"ENSMUSG00000024958",399,4306,3468,183,1091,4862,3673,1864,171,39,316,3007,4990,666
"ENSMUSG00000024959",4488,2433,4424,2246,1509,2568,1414,2966,2537,4401,347,2384,4110,832
"ENSMUSG00000024960",4812,903,4653,3725,1741,91,513,1805,1507,1757,4613,2983,3820,2555
"ENSMUSG00000024962",2584,611,2298,3854,229,2263,2950,4505,1479,3670,523,1415,4211,762
"ENSMUSG00000024963",4605,4626,275,114,4166,1911,4856,1759,3740,2537,1927,4892,4091,4169
"ENSMUSG00000024965",2635,3918,3166,4779,1400,3257,4734,2850,2482,2701,2509,1452,1436,3454
"ENSMUSG00000024966",4612,1564,3374,3521,4335,4999,959,4206,2580,982,3633,1119,4224,3667
"ENSMUSG00000024968",4730,1189,579,454,44,100,2505,4276,1144,518,3149,2400,4675,455
"ENSMUSG00000024969",4090,3011,2231,3116,3634,2454,983,3536,1220,4987,1031,1481,2482,2286
"ENSMUSG00000024970",1852,675,1277,7,4885,1263,4265,4359,352,1480,3150,4531,3232,2492
"ENSMUSG00000024972",3206,2021,2679,692,3234,3607,4396,238,2522,3548,3826,2908,4094,868
"ENSMUSG00000024973",2738,2596,477,2275,2176,4971,155,2406,4093,4929,3988,4761,1863,5
"ENSMUSG00000024974",2304,4113,379,2283,4768,4820,146,3467,1089,1109,3893,2123,3227,4462
"ENSMUSG00000024975",4046,579,4845,2837,1024,3600,4743,2884,298,4277,2876,1590,2948,1819
"ENSMUSG00000024976",2511,3376,1857,4319,2992,4326,4685,3997,1534,4615,525,311,3983,4476
"ENSMUSG00000024978",4103,1410,3820,3812,4653,739,2554,382,2684,3421,4603,1529,1875,173
"ENSMUSG00000024979",4367,3273,4105,1276,4465,707,4885,4405,3350,2483,909,716,2099,691
"ENSMUSG00000024981",3977,4023,2720,4991,1868,3472,4454,1957,2415,449,3223,4281,4113,4190
"ENSMUSG00000024982",4975,832,3674,865,813,1708,1665,3776,2416,171,1450,491,2359,909
"ENSMUSG00000024983",1184,301,23,4351,2125,1025,119,2950,4949,4632,3301,3425,1764,253
"ENSMUSG00000024985",1234,683,2603,3425,4550,1506,3602,3913,666,119,1987,4472,3166,2265
"ENSMUSG00000024986",2092,4129,790,2428,1221,1114,4645,3722,969,3987,1718,3946,3434,4562
"ENSMUSG00000024987",3482,1717,1657,4140,3259,4514,110,1380,1260,3902,711,4896,4828,958
"ENSMUSG00000024989",1881,4516,1247,3705,1287,2463,197,1100,2370,4472,2359,1926,2207,1251
"ENSMUSG00000024990",4854,1356,4945,2376,220,3666,1292,4899,1157,391,3315,1231,2277,2143
"ENSMUSG00000024991",4666,3413,3362,3588,3295,4732,1483,3954,3436,1281,1312,1567,1661,768
"ENSMUSG00000024992",2170,2722,430,1496,2827,1342,4735,1234,4905,971,876,4186,3108,2867
"ENSMUSG00000024993",3937,4699,3037,3574,1034,4857,829,3713,4156,49,4215,4539,3591,4052
"ENSMUSG00000024997",652,3597,3019,2604,1329,2043,779,526,663,1926,1831,2639,1311,345
"ENSMUSG00000024998",3080,463,50,3244,4371,4793,4123,3136,3700,533,3112,1276,984,2570
"ENSMUSG00000024999",4380,4509,2034,3744,1993,4959,2123,1013,4459,217,4909,170,2124,4818
"ENSMUSG00000025001",968,2032,2536,1817,2920,1183,834,2049,523,3021,3545,4700,4695,468
"ENSMUSG00000025002",4289,651,686,2024,3764,4042,2383,1437,4854,4099,1449,789,3366,4621
"ENSMUSG00000025003",1286,4236,4961,4908,2078,3431,905,4278,1695,4476,3810,1707,1682,3752
"ENSMUSG00000025004",3594,4254,4797,1636,4213,507,3214,3508,4090,2992,479,1011,4280,2127
"ENSMUSG00000025006",4115,3088,3888,2058,1849,2057,4545,3170,4586,2362,3206,3285,245,4829
"ENSMUSG00000025007",90,1259,2307,3979,920,1309,3050,4304,782,1287,2317,3419,881,2184
"ENSMUSG00000025008",2719,326,941,2581,3658,4825,2052,4250,505,1504,856,4635,3778,627
"ENSMUSG00000025010",3498,4688,3965,2378,4092,122,452,1628,401,1811,673,459,3145,3598
"ENSMUSG00000025013",2517,1678,693,3741,2665,4803,3200,2060,3163,1370,1303,1399,2453,3762
"ENSMUSG00000025014",3761,3564,231,3265,1412,3510,431,995,3103,828,555,939,3776,4772
"ENSMUSG00000025016",2066,58,1753,3335,3828,4172,1579,2148,3124,3609,2970,3586,1762,2634
